服务,级别,错误,消息,组件,原因
PyApp,ERROR,KeyboardInterrupt,程序被用户中断（Ctrl+C）,SignalHandler,用户主动终止程序执行
PyApp,FATAL,MemoryError,无法分配 512 MB 内存,MemoryManager,系统内存不足或程序内存泄漏
PyApp,ERROR,ZeroDivisionError,division by zero,MathEngine,除数为零导致数学运算异常
PyApp,WARN,FileNotFoundError,[Errno 2] No such file or directory: 'config.yaml',FileLoader,配置文件路径错误或文件未创建
PyApp,ERROR,ImportError,No module named 'pandas',ModuleLoader,未安装依赖库或环境路径错误
PyApp,FATAL,RecursionError,maximum recursion depth exceeded,RecursionGuard,递归层数超过系统限制
PyApp,ERROR,KeyError,'user_id' not found in dict,DictAccessor,字典中不存在指定键
PyApp,WARN,AttributeError,'NoneType' object has no attribute 'name',ObjectAccessor,对象为None时访问其属性
PyApp,ERROR,TypeError,unsupported operand type(s) for +: 'int' and 'str',TypeChecker,类型不匹配的操作
PyApp,FATAL,SystemExit,Program exited with code 1,ExitHandler,调用sys.exit()或发生致命错误
PyApp,ERROR,IndexError,list index out of range,ListAccessor,列表索引超出范围
PyApp,WARN,PermissionError,[Errno 13] Permission denied: '/etc/hosts',FileWriter,无权限写入系统文件
PyApp,ERROR,TimeoutError,Connection timed out after 10s,NetworkClient,网络请求超时
PyApp,FATAL,OSError,[Errno 28] No space left on device,DiskManager,磁盘空间不足
PyApp,ERROR,ValueError,invalid literal for int() with base 10: 'abc',Parser,字符串转换为数字时格式错误
PyApp,WARN,UnicodeDecodeError,'utf-8' codec can't decode byte 0xff,Encoder,文件编码格式不匹配
PyApp,ERROR,AssertionError,assert len(users) > 0,Validator,断言条件不满足
PyApp,FATAL,NotImplementedError,Method not implemented,AbstractBase,抽象方法未实现
PyApp,WARN,DeprecationWarning,use of deprecated function 'old_func',Compatibility,使用已弃用的函数或类
PyApp,ERROR,RuntimeError,generator raised StopIteration,Generator,生成器异常终止
PyTorch,FATAL,CUDA_OUT_OF_MEMORY,CUDA out of memory,GPUManager,GPU显存不足，尝试减小batch_size或清理缓存
