服务,级别,错误,消息,组件,原因
PythonScriptService,ERROR,SyntaxError,invalid syntax,ScriptParser,代码中存在语法错误，可能是拼写错误、缺少标点符号或者使用了不正确的语法结构。
PythonScriptService,ERROR,IndentationError,unexpected indent,ScriptParser,代码缩进不正确，Python 使用缩进来表示代码块，缩进不一致会导致此错误。
PythonScriptService,ERROR,NameError,name 'x' is not defined,VariableResolver,使用了未定义的变量或函数名。
PythonScriptService,ERROR,TypeError,unsupported operand type(s) for +: 'int' and 'str',OperatorHandler,操作或函数应用于不兼容的数据类型，例如对整数和字符串进行加法运算。
PythonScriptService,ERROR,IndexError,list index out of range,ListAccessor,尝试访问列表、元组或其他序列类型中不存在的索引。
PythonScriptService,ERROR,KeyError,key 'non_existent_key' not found,DictAccessor,尝试访问字典中不存在的键。
PythonScriptService,ERROR,FileNotFoundError,No such file or directory: 'nonexistent_file.txt',FileReader,尝试打开或操作不存在的文件。
PythonScriptService,ERROR,ZeroDivisionError,division by zero,MathOperator,在数学运算中，尝试除以零。
PythonScriptService,ERROR,AttributeError,'module' object has no attribute 'non_existent_attribute',AttributeResolver,尝试访问对象不存在的属性或方法。
PythonScriptService,ERROR,ImportError,No module named 'non_existent_module',ModuleImporter,尝试导入不存在的模块，或者模块路径设置不正确。
PythonScriptService,ERROR,SyntaxError,invalid syntax,ScriptParser,代码中存在语法错误，可能是拼写错误、缺少标点符号或者使用了不正确的语法结构。
PythonScriptService,ERROR,IndentationError,unexpected indent,ScriptParser,代码缩进不正确，Python 使用缩进来表示代码块，缩进不一致会导致此错误。
PythonScriptService,ERROR,NameError,name 'x' is not defined,VariableResolver,使用了未定义的变量或函数名。
PythonScriptService,ERROR,TypeError,unsupported operand type(s) for +: 'int' and 'str',OperatorHandler,操作或函数应用于不兼容的数据类型，例如对整数和字符串进行加法运算。
PythonScriptService,ERROR,IndexError,list index out of range,ListAccessor,尝试访问列表、元组或其他序列类型中不存在的索引。
PythonScriptService,ERROR,KeyError,key 'non_existent_key' not found,DictAccessor,尝试访问字典中不存在的键。
PythonScriptService,ERROR,FileNotFoundError,No such file or directory: 'nonexistent_file.txt',FileReader,尝试打开或操作不存在的文件。
PythonScriptService,ERROR,ZeroDivisionError,division by zero,MathOperator,在数学运算中，尝试除以零。
PythonScriptService,ERROR,AttributeError,'module' object has no attribute 'non_existent_attribute',AttributeResolver,尝试访问对象不存在的属性或方法。
PythonScriptService,ERROR,ImportError,No module named 'non_existent_module',ModuleImporter,尝试导入不存在的模块，或者模块路径设置不正确。
