服务,级别,错误,消息,组件,原因
bash,ERROR,COMMAND_NOT_FOUND,"bash: somecommand: command not found",,用户输入了不存在的命令
ls,ERROR,PERMISSION_DENIED,"ls: cannot open directory '/root': Permission denied",,用户没有权限访问该目录
cp,ERROR,FILE_NOT_FOUND,"cp: cannot stat 'nonexistent.txt': No such file or directory",,源文件不存在
rm,ERROR,PERMISSION_DENIED,"rm: cannot remove 'protected.txt': Permission denied",,用户没有删除文件的权限
git,ERROR,NOT_A_GIT_REPOSITORY,"fatal: not a git repository (or any of the parent directories): .git",,当前目录不是Git仓库
ssh,ERROR,CONNECTION_REFUSED,"ssh: connect to host example.com port 22: Connection refused",,目标主机拒绝连接或SSH服务未运行
tar,ERROR,INVALID_OPTION,"tar: invalid option -- 'z'",,使用了无效的选项
chmod,ERROR,INVALID_MODE,"chmod: invalid mode: 'x'",,权限模式无效
df,WARN,DISK_SPACE_LOW,"df: no space left on device",,磁盘空间不足
grep,ERROR,FILE_NOT_FOUND,"grep: nonexistent.txt: No such file or directory",,指定文件不存在
sudo,ERROR,PERMISSION_DENIED,"sudo: user is not in the sudoers file. This incident will be reported.",,用户没有sudo权限
mv,ERROR,FILE_EXISTS,"mv: cannot move 'file1' to 'file2': File exists",,目标文件已存在
cat,ERROR,FILE_NOT_FOUND,"cat: nonexistent.txt: No such file or directory",,文件不存在
ps,ERROR,INVALID_OPTION,"ps: invalid option -- 'x'",,选项无效
kill,ERROR,INVALID_SIGNAL,"kill: invalid signal specification",,信号指定无效
find,ERROR,PERMISSION_DENIED,"find: ‘/root’: Permission denied",,没有权限搜索该目录
du,ERROR,PERMISSION_DENIED,"du: cannot read directory '/root': Permission denied",,没有权限读取目录
ssh-keygen,WARN,FILE_EXISTS,"ssh-keygen: /home/user/.ssh/id_rsa already exists.",,密钥文件已存在
curl,ERROR,CONNECTION_FAILED,"curl: (7) Failed to connect to example.com port 80: Connection refused",,无法连接到目标主机
wget,ERROR,HOST_NOT_FOUND,"wget: unable to resolve host address 'nonexistent.com'",,域名解析失败
apt,ERROR,PKG_NOT_FOUND,"E: Unable to locate package nonexistent-pkg",,软件包名称错误或不在软件源中
