服务,级别,错误,消息,组件,原因
java,ERROR,ClassNotFoundException,类 com.example.UserService 未找到,ClassLoader,类路径中缺少必要的JAR文件或类名拼写错误
java,ERROR,NullPointerException,在 UserController.getUser 方法中，user对象为null,UserController,对象未初始化即被使用，可能由于未正确赋值或依赖注入失败
java,ERROR,ArrayIndexOutOfBoundsException,数组索引 5 超出长度 3,ArrayProcessor,循环边界条件错误或数组未正确初始化
java,ERROR,IllegalArgumentException,参数 'age' 必须为正数,ValidationUtils,方法接收到非法参数，验证逻辑失败
java,ERROR,NumberFormatException,对于输入字符串: 'abc',NumberParser,字符串格式错误，无法转换为数字类型
mybatis,ERROR,SQLException,执行SQL查询时出错: SELECT * FROM users,SqlSession,数据库连接超时或SQL语法错误
springboot,ERROR,BeanCreationException,创建Bean 'dataSource' 失败,ApplicationContext,依赖注入失败或配置属性缺失
java,FATAL,OutOfMemoryError,Java堆空间不足,JVM,内存泄漏或堆内存配置不足导致耗尽
hibernate,ERROR,HibernateException,无法获取Hibernate Session,SessionFactory,数据库连接池已满或ORM映射配置错误
springboot,ERROR,MissingServletRequestParameterException,必需参数 'userId' 不存在,ControllerAdvice,前端请求未传递必需的参数
java,ERROR,NoSuchMethodException,方法 'getUser' 未找到,ReflectionUtils,通过反射调用方法时，方法名或参数不匹配
mybatis,ERROR,BindingException,无效的绑定语句: com.example.UserDao.getUser,MapperRegistry,MyBatis映射文件未找到或XML配置错误
java,ERROR,IOException,文件读取失败: /path/to/file.txt,FileReader,文件不存在或权限不足
springboot,WARN,HttpMessageNotReadableException,请求体解析失败: JSON格式错误,HttpMessageConverter,JSON数据格式不正确或字段类型不匹配
java,ERROR,ClassCastException,无法将类型 java.lang.String 转换为 com.example.User,TypeCaster,对象类型转换时，实际类型与目标类型不兼容
lombok,ERROR,NoSuchMethodError,lombok.Getter 方法未找到,AnnotationProcessor,类路径中Lombok版本不兼容或未正确配置注解处理器
jdbc,ERROR,SQLSyntaxErrorException,SQL语法错误: SELEC * FROM users,StatementParser,SQL语句拼写错误，缺少关键字或表名不存在
springboot,FATAL,CircularDependency,检测到循环依赖: A→B→A,DependencyResolver,Bean之间相互引用导致无法完成依赖注入
maven,ERROR,DependencyResolutionException,无法解析依赖: com.example:utils:1.0.0,DependencyManager,仓库中不存在该版本或网络连接失败
mybatis,ERROR,PersistenceException,MyBatis映射异常: 结果集映射失败,ResultMapHandler,数据库列名与Java属性名不匹配
java,ERROR,StackOverflowError,栈溢出: 递归调用深度超过限制,JVM,递归方法缺少终止条件或递归深度过大
spring,ERROR,NoUniqueBeanDefinitionException,找到多个Bean: UserService,BeanFactory,同一类型存在多个实现类且未指定主Bean
jackson,ERROR,JsonProcessingException,JSON解析失败: 无法识别的字段 'userName',ObjectMapper,JSON中包含Java对象不存在的字段
junit,ERROR,AssertionFailedError,断言失败: 期望值100，实际值95,TestRunner,测试用例预期结果与实际执行结果不符
hibernate,WARN,LazyInitializationException,延迟加载异常: 会话已关闭,LazyLoader,在Hibernate会话外访问延迟加载的关联对象
log4j,ERROR,AppenderFail,日志追加器失败: 文件写入被拒绝,FileAppender,日志文件被其他进程占用或权限不足
redis,ERROR,RedisConnectionFailure,Redis连接失败: Connection refused,JedisClient,Redis服务未启动或网络配置错误
springcloud,ERROR,FeignException,Feign调用失败: 服务不可用,FeignClient,目标服务未注册或健康检查失败
kafka,ERROR,ProducerException,Kafka生产者异常: 消息发送超时,KafkaProducer,broker配置错误或网络延迟
gradle,ERROR,BuildException,Gradle构建失败: 任务依赖冲突,TaskExecutor,任务循环依赖或配置错误
springsecurity,ERROR,AccessDeniedException,访问被拒绝: 权限不足,AccessDecisionManager,用户角色不具备访问该资源的权限
jvm,ERROR,GCOverheadLimitExceed,GC开销超出限制: 98%时间用于GC,GarbageCollector,堆内存不足或存在内存泄漏
mongodb,ERROR,MongoSocketException,MongoDB套接字异常: 连接超时,MongoClient,数据库地址错误或防火墙阻挡
springbatch,ERROR,JobExecutionException,作业执行失败: 读取数据异常,ItemReader,数据源配置错误或文件格式不匹配
elasticsearch,ERROR,ElasticsearchStatusException,索引操作失败: 索引只读,IndicesClient,磁盘空间不足导致索引进入只读模式
tomcat,ERROR,LifecycleException,Tomcat启动失败: 端口8080被占用,Connector,其他进程占用了服务端口
docker,ERROR,DockerException,容器启动失败: 镜像不存在,DockerClient,镜像名称错误或未拉取到本地
nginx,ERROR,ConfigError,Nginx配置错误: 未知指令 'proxy_passs',ConfigParser,配置文件存在语法错误
zookeeper,ERROR,ConnectionLossException,ZooKeeper连接丢失: 会话超时,CuratorFramework,网络波动或ZooKeeper集群故障
rabbitmq,ERROR,ChannelClosedException,RabbitMQ通道关闭: 连接意外断开,Channel,网络中断或心跳超时
